step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
185512	54550000	51	14.2202131229	3629	255.200113292	79618.0	21.9393772389	-1002.0	100000.0	0.856158721411	0	2	67.0893015635	-300.0	532.62187139	832311.0	196.264	12467.0	100	5	18	1	48	3.65306122449	12.1966101695	13.3333333333	1	-2830	0
189161	54550000	52	15.0275161746	3649	242.821232572	387625.0	106.227733626	-1001.0	100000.0	0.944094272403	0	2	69.0021820069	-443.0	544.274413766	882023.0	199.666	12580.8	100	8	8	0	52	3.78571428571	9.20061728395	6.68421052632	4	-1822	0
192800	54550000	53	15.1715301274	3639	239.857151484	90629.0	24.9049189338	-1011.0	100000.0	0.864523220665	0	2	69.3846840218	-240.0	538.359452746	899968.0	193.459	12789.7	100	11	1	1	89	2.71111111111	7.47867298578	8.42857142857	1	-2006	0
196417	54550000	54	13.7954190206	3617	262.188484061	82777.0	22.8855405032	-1001.0	100000.0	0.861487420514	0	2	71.3828238497	-236.0	554.733717659	805943.0	196.282	13137.4	100	9	10	0	83	2.82142857143	8.10895883777	2.0	1	-2536	0
200046	54550000	55	14.3301332575	3629	253.242585731	286420.0	78.9253237807	-1002.0	100000.0	0.949848443097	0	2	69.1485512448	-264.0	524.716043124	754332.0	190.629	13010.9	100	7	11	1	74	2.97402597403	7.75452196382	11.3684210526	3	-2344	0
203696	54550000	56	14.0750522989	3650	259.324080827	287523.0	78.7734246575	-1002.0	100000.0	0.830684931507	0	2	69.4568592342	-203.0	538.008230292	803098.0	193.441	12759.8	100	8	7	3	72	2.85333333333	8.41239892183	20.3333333333	3	-2208	0
207318	54550000	57	14.5103643063	3622	249.614683928	587746.0	162.271120928	-1002.0	100000.0	0.794312534511	0	2	69.3785119521	-285.0	542.570555417	842041.0	194.048	12641.2	100	9	9	1	51	3.75438596491	10.4728434505	9.69696969697	6	-1924	0
210974	54550000	58	16.017782527	3656	228.246325223	280079.0	76.6080415755	-1000.0	100000.0	0.90727571116	0	2	70.6654045916	-154.0	536.520225935	895809.0	203.655	12786.4	100	7	17	0	57	3.28333333333	9.42686567164	13.4705882353	3	-2716	0
214593	54550000	59	14.0037469077	3619	258.430834537	189090.0	52.2492401216	-1000.0	100000.0	0.989776181266	0	2	68.1680309347	-299.0	493.160623172	838870.0	197.945	12787.2	100	4	9	3	65	3.32835820896	8.26519337017	5.0	2	-2076	0
218207	54550000	60	14.368473029	3614	251.522899665	90763.0	25.1142778085	-1002.0	100000.0	0.949086884339	0	2	69.3553016564	-284.0	530.677413019	851455.0	200.329	12937.3	100	4	8	3	72	3.21917808219	8.54293628809	6.4	1	-2100	0
