step	nb_steps	episode	duration	episode_steps	sps	episode_reward	reward_mean	reward_min	reward_max	action_mean	action_min	action_max	obs_mean	obs_min	obs_max	loss	mean_absolute_error	mean_q	mean_eps	maxscore	outer_deaths	inner_deaths	shell_deaths	resets	reset_vlners	isi_pre	isi_post	fortress_kills	raw_pnts	total
136400	10910000	50	5.59320828181	2728	487.734384731	559938.5	205.256048387	-1002.0	100386.5	1.267228739	0	2	69.1192614787	-66.0	517.973262941	2036044.85853	133.497290424	3977.4353124	0.390345873511	100	0	23	3	100	2.64705882353	4.7801980198	4.57142857143	2	-3280	0
139128	10910000	51	5.49660787546	2728	496.306096743	426588.0	156.373900293	-1000.0	554.5	1.39516129032	0	2	69.6391935944	-138.0	532.900189128	1270595.81693	105.061825498	4003.08360062	0.390150837764	0	2	15	2	119	2.31092436975	3.8612716763	NA	0	-2836	0
141856	10910000	52	5.59632182025	2728	487.463031545	502920.0	184.35483871	-1006.0	100291.5	1.29032258065	0	2	69.7349736181	-74.0	544.553037647	844261.165152	101.30015418	4122.97449804	0.389955802016	100	0	17	4	99	2.82178217822	4.45725646123	6.83333333333	2	-2814	0
144584	10910000	53	5.66074327373	2728	481.915513226	561805.0	205.940249267	-1003.0	853.5	1.32807917889	0	2	68.5445024347	-80.0	491.349932742	706151.59481	94.1935772043	4200.20683973	0.389760766269	0	1	16	1	129	2.21705426357	4.01109057301	NA	0	-2796	0
147312	10910000	54	5.62268058252	2728	485.177836436	552656.0	202.586510264	-1000.0	100258.5	1.22507331378	0	2	68.9392475972	-60.0	492.509015393	1624401.59033	137.221877873	4198.32269556	0.389565730522	100	0	22	1	97	2.55102040816	5.12653061224	2.0	1	-3056	0
150040	10910000	55	5.80806682934	2728	469.691565224	595050.0	218.126832845	-1008.0	100531.5	1.35447214076	0	2	69.7908705219	-86.0	535.90451621	1736751.5194	137.347689156	4211.9677226	0.389370694775	100	3	15	2	107	2.46788990826	4.16194331984	5.71428571429	2	-2700	94
152768	10910000	56	5.45165943949	2728	500.398095347	303463.0	111.240102639	-1002.0	472.5	1.31744868035	0	2	68.2829650762	-110.0	522.58847904	1201467.94598	117.410326832	4803.52956894	0.389175659028	0	2	23	2	108	2.49074074074	4.46923076923	2.0	0	-3600	0
155496	10910000	57	5.54368892565	2728	492.091103341	587294.0	215.28372434	-1001.0	100410.5	1.31195014663	0	2	69.3782329914	-76.0	542.632771086	687348.002461	101.471735717	4813.2103787	0.388980623281	100	2	19	1	108	2.51376146789	4.25149700599	15.6666666667	1	-3008	0
158224	10910000	58	5.57232546807	2728	489.562215207	648270.5	237.635813783	-1004.0	100119.5	1.34897360704	0	2	68.9056531572	-90.0	496.338130699	1214517.94016	127.944653559	4831.07359444	0.388785587534	100	0	17	0	111	2.51785714286	4.03137254902	10.0	1	-2550	0
160952	10910000	59	5.50762091088	2728	495.313683375	315632.5	115.70106305	-1000.0	563.5	1.32148093842	0	2	68.7181412147	-88.0	550.100338745	940436.075633	110.612625508	4859.44043649	0.388590551787	0	2	21	3	101	2.66336633663	4.6517311609	NA	0	-3478	0
